AOU,AOU,English_Common_Name,ORDER,Family,Genus,Species,Total_Counts,Abundance,Spp4,R_FP,R_TP,R_Total,prop_eval_1,Validate_Y_N,TopBin_N,TopBin_N_temp,09Segments,Occ_Model,Spp6,mean_lTh90_Uniform200,sd_lTh90_Uniform200,se_lTh90_Uniform200,95CI_lTh90_Uniform200,p025_lTh90_Uniform200,p975_lTh90_Uniform200,mean_lTh70_Uniform200,mean_lTh80_Uniform200,mean_lTh95_Uniform200,mean_lTh99_Uniform200,bsrep_failed,bsrep_total,bs_rep_failure_rate,mean_Th,sd_Th,se_Th,median_Th,p025,p975,interval_95,mean_status_color,sort_group,mean_lTh_90,sd_lTh_90,se_lTh_90,median_lTh_90,p025_lTh_90,p97_lTh_90,interval_95_lTh_90
3600,3600,American Kestrel,Falconiformes,Falconidae,Falco,sparverius,5356,1,AMKE,,0,,,<10,,,0,,amekes,,,,,,,,,,,,,,,,,,,,,,,2.623569719,0.177516168,0.005613554,2.650863164,2.222146817,2.901567921,0.679421104
4010,4010,American Three-toed Woodpecker,Piciformes,Picidae,Picoides,dorsalis,6,3,ATTW,800,0,800,0,<10,,,0,,attwoo,,,,,,,,,,,,,,,,,,,,,,,4.721687823,0.312707885,0.009888692,4.716729113,4.130779165,5.321612029,1.190832864
6160,6160,Bank Swallow,Passeriformes,Hirundinidae,Riparia,riparia,33452,4,BANS,,NA,,,<10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,-0.22423014,0.271451783,0.008584059,-0.205420831,-0.793529095,0.252423876,1.045952972
5070,5070,Baltimore Oriole,Passeriformes,Icteridae,Icterus,galbula,57944,1,BAOR,,2,,,<10,,,0,,balori,,,,,,,,,,,,,,,,,,,,,,,0.048722563,0.318636585,0.010076174,0.061593243,-0.605838642,0.656068074,1.261906716
6130,6130,Barn Swallow,Passeriformes,Hirundinidae,Hirundo,rustica,148633,4,BARS,,0,,,<10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,-0.049905985,0.328001713,0.010372325,-0.037969629,-0.664859402,0.575619516,1.240478918
7510,7510,Blue-gray Gnatcatcher,Passeriformes,Polioptilidae,Polioptila,caerulea,1284,1,BGGN,,NA,,,<10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1.645493617,0.236601437,0.007481994,1.655270882,1.183046381,2.100744504,0.917698124
7571,7571,Bicknell's Thrush,Passeriformes,Turdidae,Catharus,bicknelli,36,1,BITH,,0,,,<10,,,17,,bicthr,,,,,,,,,,,,,,,,,,,,,,,2.402824242,0.219551999,0.006942844,2.418540853,1.936702132,2.830464957,0.893762826
5970,5970,Blue Grosbeak,Passeriformes,Cardinalidae,Passerina,caerulea,1,3,BLGR,,NA,,,<10,,,0,,blugro,,,,,,,,,,,,,,,,,,,,,,,-1.99610194,0.317150983,0.010029195,-2.19,-2.19,-1.338799895,0.851200105
3260,3260,Black Vulture,Cathartiformes,Cathartidae,Coragyps,atratus,28,4,BLVU,,NA,,,<10,,,0,,blavul,,,,,,,,,,,,,,,,,,,,,,,1.795631593,0.322079342,0.010185043,1.784957837,1.172343126,2.440103769,1.267760643
4940,4940,Bobolink,Passeriformes,Icteridae,Dolichonyx,oryzivorus,85093,4,BOBO,,NA,,,<10,,,0,,boboli,,,,,,,,,,,,,,,,,,,,,,,6.96569864,0.396081136,0.012525185,6.954377049,6.231646209,7.739522588,1.507876378
7050,7050,Brown Thrasher,Passeriformes,Mimidae,Toxostoma,rufum,11063,1,BRTH,,0,,,<10,,,1,,brnthr,,,,,,,,,,,,,,,,,,,,,,,-1.957046912,0.217259773,0.006870357,-1.892356834,-2.19,-1.596474675,0.593525325
6412,6412,Brewster's Warbler (Golden-winged x Blue-winged),Passeriformes,Parulidae,Vermivora,cyanoptera x chrysoptera,10,3,BRWA,,NA,,,<10,,,0,,brewar,,,,,,,,,,,,,,,,,,,,,,,0.567252813,0.216790538,0.006855519,0.576771921,0.11277532,0.964905334,0.852130014
6410,6410,Blue-winged Warbler,Passeriformes,Parulidae,Vermivora,cyanoptera,6225,1,BWWA,,NA,,,<10,,,0,,blwwar,,,,,,,,,,,,,,,,,,,,,,,2.497832584,0.236350849,0.00747407,2.499442168,2.012576207,2.98322011,0.970643903
5610,5610,Clay-colored Sparrow,Passeriformes,Passerellidae,Spizella,pallida,14,3,CCSP,,NA,,,<10,,,0,,clcspa,,,,,,,,,,,,,,,,,,,,,,,1.112309821,0.366455388,0.011588337,1.11786988,0.417898212,1.857819464,1.439921252
6580,6580,Cerulean Warbler,Passeriformes,Parulidae,Setophaga,cerulea,136,1,CERW,,0,,,<10,,,217,,cerwar,,,,,,,,,,,,,,,,,,,,,,,0.315731226,0.286700979,0.009066281,0.164677947,0.164590807,0.987051215,0.822460408
6120,6120,Cliff Swallow,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,15017,1,CLSW,,NA,,,<10,,,0,,cliswa,,,,,,,,,,,,,,,,,,,,,,,0.519488877,0.236639681,0.007483204,0.530671467,0.005143701,0.94748539,0.942341689
3330,3330,Cooper's Hawk,Accipitriformes,Accipitridae,Accipiter,cooperii,374,1,COHA,,8,,,<10,,,14,,coohaw,,,,,,,,,,,,,,,,,,,,,,,1.742711106,0.476273916,0.015061104,1.709069263,0.942627421,2.78382201,1.84119459
6780,6780,Connecticut Warbler,Passeriformes,Parulidae,Oporornis,agilis,1,3,COWA,,0,,,<10,,,1,,conwar,,,,,,,,,,,,,,,,,,,,,,,1.90362173,0.255030575,0.008064775,1.894865422,1.450949966,2.471804461,1.020854494
6040,6040,Dickcissel,Passeriformes,Cardinalidae,Spiza,americana,7,3,DICK,,NA,,,<10,,,0,,dickci,,,,,,,,,,,,,,,,,,,,,,,0.254387123,0.265407625,0.008392926,0.255974858,-0.269822129,0.778543563,1.048365692
5010,5010,Eastern Meadowlark,Passeriformes,Icteridae,Sturnella,magna,36222,4,EAME,,NA,,,<10,,,0,,easmea,,,,,,,,,,,,,,,,,,,,,,,0.572281013,0.228216561,0.007216841,0.581275678,0.086626449,0.992876926,0.906250477
4930,4930,European Starling,Passeriformes,Sturnidae,Sturnus,vulgaris,569788,4,EUST,,NA,,,<10,,,0,,eursta,,,,,,,,,,,,,,,,,,,,,,,0.853556993,0.183879995,0.005814796,0.864587161,0.491758467,1.181288463,0.689529997
5630,5630,Field Sparrow,Passeriformes,Passerellidae,Spizella,pusilla,25433,1,FISP,399,2,401,0.004987531,<10,,,1,,fiespa,,,,,,,,,,,,,,,,,,,,,,,0.967503154,0.285414693,0.009025605,0.967916433,0.403334515,1.538001186,1.134666671
5850,5850,Fox Sparrow,Passeriformes,Passerellidae,Passerella,iliaca,175,1,FOSP,,8,20,,<10,,,20,,foxspa,,,,,,,,,,,,,,,,,,,,,,,2.248191776,0.156227066,0.004940334,2.247188587,1.940529456,2.54901307,0.608483613
7570,7570,Gray-cheeked Thrush,Passeriformes,Turdidae,Catharus,minimus,2,1,GCTH,,NA,,,<10,,,0,,grcthr,,,,,,,,,,,,,,,,,,,,,,,2.691341669,0.029979307,0.000948029,2.680477968,2.677243815,2.783215366,0.105971551
3750,3750,Great Horned Owl,Strigiformes,Strigidae,Bubo,virginianus,319,1,GHOW,,0,342,,<10,,,342,,grhowl,,,,,,,,,,,,,,,,,,,,,,,-1.311399975,0.246364251,0.007790722,-1.312068656,-1.791176292,-0.836955593,0.9542207
5460,5460,Grasshopper Sparrow,Passeriformes,Passerellidae,Ammodramus,savannarum,1285,4,GRSP,,4,4,,<10,,,4,,graspa,,,,,,,,,,,,,,,,,,,,,,,1.800442193,0.27369712,0.008655063,1.793565135,1.287211794,2.350833625,1.063621831
6420,6420,Golden-winged Warbler,Passeriformes,Parulidae,Vermivora,chrysoptera,710,1,GWWA,,NA,,,<10,,,0,,gowwar,,,,,,,,,,,,,,,,,,,,,,,0.178829173,0.154862603,0.004897185,0.18479759,-0.126797346,0.468732972,0.595530318
5470,5470,Henslow's Sparrow,Passeriformes,Passerellidae,Centronyx,henslowii,378,4,HESP,,NA,,,<10,,,0,,henspa,,,,,,,,,,,,,,,,,,,,,,,0.212839189,0.319111144,0.01009118,0.210333137,-0.427423015,0.810900564,1.238323578
5190,5190,House Finch,Passeriformes,Fringillidae,Haemorhous,mexicanus,49502,1,HOFI,,0,,,<10,,,1,,houfin,,,,,,,,,,,,,,,,,,,,,,,1.00140449,0.149537729,0.004728798,0.97723351,0.765378531,1.250083357,0.484704826
4740,4740,Horned Lark,Passeriformes,Alaudidae,Eremophila,alpestris,5670,4,HOLA,,NA,,,<10,,,0,,horlar,,,,,,,,,,,,,,,,,,,,,,,0.027519199,0.28605387,0.009045818,0.042517025,-0.544941225,0.572426839,1.117368063
6882,6882,House Sparrow,Passeriformes,Passeridae,Passer,domesticus,194663,4,HOSP,,NA,,,<10,,,0,,houspa,,,,,,,,,,,,,,,,,,,,,,,3.732979917,0.222946433,0.007050185,3.723107365,3.284130264,4.160800988,0.876670723
6840,6840,Hooded Warbler,Passeriformes,Parulidae,Setophaga,citrina,1116,1,HOWA,812,3,815,0.003680982,<10,,,19,,hoowar,,,,,,,,,,,,,,,,,,,,,,,2.376043717,0.182719224,0.005778089,2.384317852,2.005574182,2.725750793,0.720176611
