AOU_Code,BCI_Type,Int_Element,Guild_Category,Response_Guild
ACFL,Cent_Appal,Structural,NestPlacement,CanopyNester
ACFL,Cent_Appal,Structural,PrimaryHabitat,InteriorForestObligate
ALFL,Cent_Appal,Structural,NestPlacement,ShrubNester
ALFL,Cent_Appal,Compositional,NumberofBroods,SingleBrooded
AMCR,Cent_Appal,Compositional,Migratory,Resident
AMCR,Cent_Appal,Structural,NestPlacement,CanopyNester
AMCR,Cent_Appal,Compositional,NumberofBroods,SingleBrooded
AMCR,Cent_Appal,Compositional,PopulationLimiting,NestPredator_BroodParasite
AMCR,Cent_Appal,Functional,Trophic,Omnivore
AMGO,Cent_Appal,Compositional,Migratory,Resident
AMGO,Cent_Appal,Structural,NestPlacement,ShrubNester
AMGO,Cent_Appal,Compositional,NumberofBroods,SingleBrooded
AMGO,Cent_Appal,Functional,Trophic,Omnivore
AMRE,Cent_Appal,Functional,InsectivoreForagingBehavior,LowerCanopyForager
AMRE,Cent_Appal,Structural,NestPlacement,CanopyNester
AMRE,Cent_Appal,Compositional,NumberofBroods,SingleBrooded
AMRE,Cent_Appal,Structural,PrimaryHabitat,InteriorForestObligate
AMRO,Cent_Appal,Compositional,Migratory,Resident
AMRO,Cent_Appal,Structural,NestPlacement,CanopyNester
AMRO,Cent_Appal,Functional,Trophic,Omnivore
BAOR,Cent_Appal,Structural,NestPlacement,CanopyNester
BAOR,Cent_Appal,Compositional,NumberofBroods,SingleBrooded
BAOR,Cent_Appal,Functional,Trophic,Omnivore
BAWW,Cent_Appal,Functional,InsectivoreForagingBehavior,BarkProber
BAWW,Cent_Appal,Structural,NestPlacement,ForestGroundNester
BAWW,Cent_Appal,Compositional,NumberofBroods,SingleBrooded
BAWW,Cent_Appal,Structural,PrimaryHabitat,InteriorForestObligate
BBCU,Cent_Appal,Functional,InsectivoreForagingBehavior,LowerCanopyForager
BBCU,Cent_Appal,Structural,NestPlacement,ShrubNester
BBCU,Cent_Appal,Compositional,NumberofBroods,SingleBrooded
BBCU,Cent_Appal,Structural,PrimaryHabitat,ForestGeneralist
BCCH,Cent_Appal,Functional,InsectivoreForagingBehavior,LowerCanopyForager
BCCH,Cent_Appal,Compositional,Migratory,Resident
