Common_Name,BCR,AOS 60,group,Regional Importance,Regional Concern,Regional Stewardship,Continental Importance,AOU_Code,Scientific_Name
Northern Bobwhite,13,101,landbird,1,1,NA,NA,NOBO,Colinus virginianus
Northern Bobwhite,28,101,landbird,1,1,NA,CBSD,NOBO,Colinus virginianus
Northern Bobwhite,29,101,landbird,1,1,NA,CBSD,NOBO,Colinus virginianus
Northern Bobwhite,30,101,landbird,1,1,NA,CBSD,NOBO,Colinus virginianus
Ruffed Grouse,14,127,landbird,1,1,NA,NA,RUGR,Bonasa umbellus
Ruffed Grouse,29,127,landbird,1,NA,NA,NA,RUGR,Bonasa umbellus
Yellow-billed Cuckoo,28,217,landbird,1,1,NA,CBSD,YBCU,Coccyzus americanus
Yellow-billed Cuckoo,29,217,landbird,1,1,NA,CBSD,YBCU,Coccyzus americanus
Yellow-billed Cuckoo,30,217,landbird,1,1,NA,CBSD,YBCU,Coccyzus americanus
Black-billed Cuckoo,13,221,landbird,1,1,NA,Watch List - Yel-D,BBCU,Coccyzus erythropthalmus
Black-billed Cuckoo,14,221,landbird,1,1,NA,Watch List - Yel-D,BBCU,Coccyzus erythropthalmus
Black-billed Cuckoo,28,221,landbird,1,1,NA,Watch List - Yel-D,BBCU,Coccyzus erythropthalmus
Black-billed Cuckoo,29,221,landbird,1,1,NA,Watch List - Yel-D,BBCU,Coccyzus erythropthalmus
Black-billed Cuckoo,30,221,landbird,1,1,NA,Watch List - Yel-D,BBCU,Coccyzus erythropthalmus
Common Nighthawk,28,231,landbird,1,1,NA,CBSD,CONI,Chordeiles minor
Chuck-will's-widow,28,240,landbird,1,1,NA,CBSD,CWWI,Antrostomus carolinensis
Chuck-will's-widow,29,240,landbird,1,1,NA,CBSD,CWWI,Antrostomus carolinensis
Eastern Whip-poor-will,13,246,landbird,1,1,NA,Watch List - Yel-D,EWPW,Antrostomus vociferus
Eastern Whip-poor-will,14,246,landbird,1,1,NA,Watch List - Yel-D,EWPW,Antrostomus vociferus
Eastern Whip-poor-will,28,246,landbird,1,1,NA,Watch List - Yel-D,EWPW,Antrostomus vociferus
Eastern Whip-poor-will,29,246,landbird,1,1,NA,Watch List - Yel-D,EWPW,Antrostomus vociferus
Eastern Whip-poor-will,30,246,landbird,1,1,NA,Watch List - Yel-D,EWPW,Antrostomus vociferus
Chimney Swift,13,264,landbird,1,1,NA,Watch List - Yel-D,CHSW,Chaetura pelagica
Chimney Swift,14,264,landbird,1,1,NA,Watch List - Yel-D,CHSW,Chaetura pelagica
Chimney Swift,28,264,landbird,1,1,NA,Watch List - Yel-D,CHSW,Chaetura pelagica
Chimney Swift,29,264,landbird,1,1,NA,Watch List - Yel-D,CHSW,Chaetura pelagica
Chimney Swift,30,264,landbird,1,1,NA,Watch List - Yel-D,CHSW,Chaetura pelagica
Northern Harrier,13,787,landbird,1,1,NA,NA,NOHA,Circus hudsonius
Broad-winged Hawk,29,824,landbird,1,1,NA,NA,BWHA,Buteo platypterus
Eastern Screech-Owl,28,837,landbird,1,1,NA,NA,EASO,Megascops asio
Long-eared Owl,29,868,landbird,1,NA,NA,NA,LEOW,Asio otus
Short-eared Owl,29,870,landbird,1,NA,NA,NA,SEOW,Asio flammeus
Belted Kingfisher,13,911,landbird,1,1,NA,NA,BEKI,Megaceryle alcyon
Belted Kingfisher,14,911,landbird,1,1,NA,NA,BEKI,Megaceryle alcyon
Belted Kingfisher,28,911,landbird,1,1,NA,NA,BEKI,Megaceryle alcyon
Belted Kingfisher,29,911,landbird,1,1,NA,NA,BEKI,Megaceryle alcyon
Belted Kingfisher,30,911,landbird,1,1,NA,NA,BEKI,Megaceryle alcyon
Red-headed Woodpecker,13,942,landbird,1,1,NA,Watch List - Yel-D,RHWO,Melanerpes erythrocephalus
Black-backed Woodpecker,14,963,landbird,1,1,NA,NA,BBWO,Picoides arcticus
Red-cockaded Woodpecker,28,968,landbird,1,1,NA,Watch List - Red,RCWO,Dryobates borealis
Red-cockaded Woodpecker,29,968,landbird,1,1,NA,Watch List - Red,RCWO,Dryobates borealis
Northern Flicker,13,981,landbird,1,1,NA,NA,NOFL,Colaptes auratus
Northern Flicker,14,981,landbird,1,1,NA,NA,NOFL,Colaptes auratus
Northern Flicker,28,981,landbird,1,1,NA,NA,NOFL,Colaptes auratus
Northern Flicker,29,981,landbird,1,1,NA,NA,NOFL,Colaptes auratus
Northern Flicker,30,981,landbird,1,1,NA,NA,NOFL,Colaptes auratus
American Kestrel,13,1002,landbird,1,1,NA,NA,AMKE,Falco sparverius
American Kestrel,29,1002,landbird,1,1,NA,NA,AMKE,Falco sparverius
Peregrine Falcon,28,1010,landbird,1,1,NA,NA,PEFA,Falco peregrinus
Eastern Kingbird,13,1282,landbird,1,1,NA,NA,EAKI,Tyrannus tyrannus
Eastern Kingbird,29,1282,landbird,1,1,NA,NA,EAKI,Tyrannus tyrannus
Eastern Kingbird,30,1282,landbird,1,1,NA,NA,EAKI,Tyrannus tyrannus
Olive-sided Flycatcher,14,1295,landbird,1,1,NA,Watch List - Yel-D,OSFL,Contopus cooperi
